Line#,Date,"Water Content (RXW-GP4A 21474793:22221785-3), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-4), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-9), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-10), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-5), *C, Soap","Water Content (RXW-GP4A 21474793:22221785-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-8), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-6), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-3), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-10), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-9), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-5), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-8), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-6), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-9), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-8), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-5), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-10), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22094718-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-2), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-6), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-7), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap"
1,01/22/25 03:35:00,0.141,0.109,5.5,6.8,0.1,0.000,0.000,3.9,1.5,2.6,0.159,0.038,6.9,6.4,5.8,0.059,5.5,6.4,8.6,7.5,6.9,0.065,6.9,9.1,0.212,0.045,0.096,7.4,5.9,0.096,0.370,7.0,0.437,6.6,3.3,0.312,5.5,0.380,4.5,3.0,6.0,0.455,6.0,0.279,6.3,3.2,7.0,3.6,0.267,0.372,4.3,5.1
2,01/22/25 03:40:00,0.141,0.109,5.5,6.8,0.3,0.000,0.000,3.9,1.5,2.6,0.159,0.037,6.9,6.4,5.6,0.059,5.5,6.3,8.6,7.5,6.8,0.065,6.9,9.1,0.212,0.045,0.096,7.5,5.9,0.096,0.370,7.0,0.437,6.6,3.5,0.312,5.3,0.380,4.5,3.0,6.0,0.455,6.0,0.278,6.3,3.2,7.0,3.6,0.267,0.372,4.3,5.1
3,01/22/25 03:45:00,0.141,0.109,5.5,6.8,0.1,0.000,0.000,3.9,1.5,2.6,0.159,0.037,6.9,6.4,5.5,0.059,5.6,6.3,8.6,7.5,6.8,0.065,6.8,9.1,0.212,0.045,0.096,7.4,5.9,0.096,0.370,7.0,0.437,6.6,3.5,0.312,5.5,0.382,4.5,3.0,6.0,0.455,6.0,0.278,6.3,3.2,7.0,3.6,0.267,0.372,4.5,5.1
4,01/22/25 03:50:00,0.141,0.109,5.5,6.8,0.3,0.000,0.000,3.9,1.5,2.6,0.159,0.038,6.9,6.4,5.5,0.059,5.6,6.3,8.6,7.5,6.9,0.065,6.6,9.1,0.212,0.045,0.096,7.4,5.9,0.096,0.370,7.0,0.437,6.6,3.3,0.312,5.3,0.380,4.5,3.0,6.0,0.455,6.0,0.278,6.3,3.1,7.0,3.6,0.267,0.372,4.5,5.1
5,01/22/25 03:55:00,0.141,0.109,5.5,6.8,0.1,0.000,0.000,3.9,1.5,2.6,0.159,0.038,6.9,6.4,5.4,0.059,5.6,6.3,8.6,7.5,6.8,0.065,6.6,9.1,0.212,0.045,0.096,7.3,5.9,0.096,0.370,7.0,0.437,6.6,3.3,0.312,5.3,0.380,4.5,3.0,6.0,0.455,6.0,0.279,6.3,3.1,7.0,3.6,0.267,0.372,4.5,5.1
6,01/22/25 04:00:00,0.141,0.109,5.5,6.8,0.3,0.000,0.000,3.9,1.5,2.6,0.159,0.037,7.0,6.5,5.3,0.059,5.6,6.3,8.6,7.5,6.9,0.065,6.5,9.1,0.213,0.045,0.096,7.4,5.9,0.096,0.370,7.0,0.437,6.6,3.5,0.312,5.5,0.380,4.5,3.0,6.0,0.455,6.0,0.278,6.3,3.1,7.0,3.6,0.267,0.372,4.5,5.1
7,01/22/25 04:05:00,0.141,0.109,5.6,6.8,0.1,0.000,0.000,3.9,1.5,2.6,0.159,0.037,6.9,6.5,5.3,0.059,5.5,6.1,8.6,7.5,6.9,0.065,6.5,9.1,0.213,0.045,0.096,7.3,5.9,0.096,0.370,7.0,0.437,6.6,3.3,0.312,5.5,0.380,4.5,3.0,6.0,0.455,6.0,0.278,6.3,3.1,7.0,3.6,0.267,0.372,4.5,5.1
8,01/22/25 04:10:00,0.141,0.109,5.5,6.8,0.3,0.000,0.000,3.9,1.5,2.6,0.159,0.038,6.9,6.4,5.1,0.059,5.6,6.1,8.6,7.6,6.9,0.065,6.5,9.1,0.212,0.045,0.096,7.3,5.9,0.096,0.370,7.0,0.437,6.6,3.5,0.312,5.5,0.380,4.5,3.0,6.0,0.455,6.0,0.279,6.3,3.1,7.0,3.6,0.267,0.372,4.5,5.1
9,01/22/25 04:15:00,0.141,0.109,5.5,6.8,0.1,0.000,0.000,3.9,1.5,2.6,0.159,0.037,6.9,6.4,5.1,0.059,5.6,6.1,8.6,7.6,6.9,0.065,6.4,9.1,0.212,0.045,0.096,7.3,5.9,0.096,0.370,7.0,0.437,6.6,3.3,0.312,5.3,0.380,4.5,3.0,6.0,0.455,6.0,0.279,6.3,3.1,7.0,3.7,0.267,0.372,4.5,5.1
10,01/22/25 04:20:00,0.141,0.109,5.5,6.8,0.1,0.000,0.000,3.9,1.5,2.6,0.159,0.038,6.9,6.4,5.0,0.059,5.6,6.1,8.6,7.5,6.9,0.065,6.4,9.1,0.213,0.045,0.096,7.3,5.9,0.096,0.370,7.0,0.437,6.6,3.3,0.312,5.5,0.380,4.5,3.0,6.0,0.455,6.0,0.279,6.3,3.1,7.0,3.6,0.267,0.372,4.5,5.1
