Line#,Date,"Water Content (RXW-GP4A 21474793:22221785-3), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-4), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-9), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-10), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-5), *C, Soap","Water Content (RXW-GP4A 21474793:22221785-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-8), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-6), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-3), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-10), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-9), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-5), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-8), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-6), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-9), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-8), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-5), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-10), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22094718-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-2), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-6), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-7), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap"
1,01/16/25 03:20:00,,,,,,,,,,,0.164,0.043,7.4,6.8,6.3,0.065,5.8,6.8,8.8,7.5,6.9,0.068,7.1,9.4,0.208,0.049,0.101,7.5,6.0,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.6,3.1,6.3,0.460,6.3,0.281,6.6,3.6,7.5,3.8,0.271,0.377,4.7,5.3
2,01/16/25 03:25:00,,,,,,,,,,,0.164,0.043,7.3,6.8,6.1,0.065,5.8,6.8,8.8,7.6,6.9,0.068,7.1,9.4,0.208,0.049,0.101,7.5,6.0,0.099,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.380,4.6,3.1,6.3,0.460,6.5,0.281,6.6,3.5,7.5,3.8,0.271,0.377,4.6,5.3
3,01/16/25 03:30:00,,,,,,,,,,,0.164,0.043,7.3,6.8,6.1,0.065,5.8,6.8,8.8,7.5,6.9,0.068,7.0,9.4,0.208,0.049,0.101,7.5,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.6,3.1,6.3,0.460,6.5,0.281,6.6,3.6,7.5,3.8,0.271,0.377,4.6,5.3
4,01/16/25 03:35:00,,,,,,,,,,,0.164,0.043,7.3,6.8,6.1,0.065,5.8,6.6,8.8,7.6,6.9,0.068,6.9,9.4,0.208,0.049,0.101,7.5,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.380,4.6,3.1,6.3,0.460,6.3,0.281,6.6,3.5,7.3,3.8,0.271,0.379,4.6,5.5
5,01/16/25 03:40:00,,,,,,,,,,,0.164,0.043,7.3,6.6,6.0,0.065,5.8,6.6,8.8,7.6,6.9,0.069,6.9,9.4,0.208,0.049,0.101,7.5,6.0,0.099,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.6,3.1,6.3,0.460,6.3,0.281,6.6,3.5,7.5,3.7,0.271,0.377,4.6,5.5
6,01/16/25 03:45:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.9,0.065,5.8,6.6,8.8,7.6,7.0,0.068,6.8,9.4,0.208,0.049,0.101,7.5,6.1,0.099,0.371,7.5,0.439,7.0,3.6,0.312,5.6,0.382,4.6,3.1,6.3,0.460,6.3,0.281,6.6,3.5,7.5,3.8,0.271,0.377,4.7,5.3
7,01/16/25 03:50:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.8,0.065,5.8,6.5,8.8,7.6,7.0,0.068,6.8,9.4,0.208,0.049,0.101,7.4,6.0,0.099,0.371,7.5,0.439,7.0,3.5,0.311,5.6,0.382,4.6,3.0,6.3,0.460,6.5,0.281,6.6,3.5,7.3,3.8,0.271,0.377,4.7,5.5
8,01/16/25 03:55:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.8,0.065,5.8,6.5,8.8,7.6,7.0,0.068,6.6,9.4,0.208,0.049,0.101,7.4,6.0,0.099,0.371,7.5,0.439,7.0,3.6,0.311,5.6,0.382,4.6,3.1,6.3,0.460,6.5,0.281,6.6,3.5,7.5,3.8,0.271,0.377,4.6,5.5
9,01/16/25 04:00:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.6,0.065,5.8,6.5,8.8,7.6,6.9,0.068,6.6,9.4,0.208,0.049,0.101,7.4,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.382,4.6,3.1,6.3,0.460,6.5,0.281,6.6,3.5,7.5,3.8,0.271,0.377,4.7,5.3
10,01/16/25 04:05:00,,,,,,,,,,,0.164,0.043,7.3,6.8,5.6,0.065,5.8,6.5,8.8,7.6,6.9,0.069,6.5,9.4,0.208,0.049,0.101,7.4,6.1,0.099,0.371,7.5,0.439,7.0,3.5,0.312,5.6,0.380,4.6,3.0,6.3,0.460,6.5,0.281,6.6,3.5,7.3,3.8,0.271,0.377,4.7,5.3
