Line#,Date,"Water Content (RXW-SMD 21474793:21154590-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21483427-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21483427-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-8), *C, Soap","Temperature (RXW-GP4 21474793:21483427-10), *C, Soap","Temperature (RXW-GP4 21474793:21483427-6), *C, Soap","Temperature (RXW-GP4 21474793:21483427-9), *C, Soap","Temperature (RXW-GP4 21474793:21483427-7), *C, Soap","Water Content (RXW-GP4 21474793:21483427-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-11), *C, Soap","Water Content (RXW-GP4 21474793:21483427-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-5), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap","Temperature (RXW-GP4 21474793:21124502-6), *C, Soap","Temperature (RXW-GP4 21474793:21124502-10), *C, Soap","Temperature (RXW-GP4 21474793:21124502-9), *C, Soap","Water Content (RXW-GP4 21474793:21124502-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-7), *C, Soap","Water Content (RXW-GP4 21474793:21124502-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-11), *C, Soap","Water Content (RXW-GP4 21474793:21124502-4), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124502-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-5), *C, Soap","Temperature (RXW-GP4 21474793:21124502-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-6), *C, Soap","Water Content (RXW-GP4 21474793:21124506-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-9), *C, Soap","Temperature (RXW-GP4 21474793:21124506-5), *C, Soap","Water Content (RXW-GP4 21474793:21124506-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-7), *C, Soap","Temperature (RXW-GP4 21474793:21124506-10), *C, Soap","Temperature (RXW-GP4 21474793:21124506-11), *C, Soap"
1,02/04/23 05:05:00,-0.5326,0.345,6.8,0.417,6.5,6.2,0.224,6.0,0.365,6.1,5.6,6.0,0.175,0.082,6.0,6.5,6.5,6.3,7.0,0.334,6.8,0.051,5.5,0.362,5.6,0.144,5.8,4.7,6.3,5.6,0.151,0.242,5.3,5.2,4.7,4.8,4.0,0.146,3.5,0.050,5.5,0.221,0.082,4.2,3.6,6.0,6.5,0.379,5.5,5.1,0.169,0.265,0.320,6.1,5.8,6.1
2,02/04/23 05:10:00,-0.5326,0.345,6.6,0.417,6.5,6.2,0.224,6.0,0.364,6.1,5.5,6.0,0.175,0.082,6.0,6.5,6.5,6.3,7.0,0.334,6.8,0.051,5.5,0.362,5.5,0.144,5.8,4.7,6.5,5.6,0.151,0.242,5.3,5.1,4.7,4.8,4.0,0.146,3.5,0.050,5.3,0.221,0.082,4.2,3.6,5.8,6.5,0.379,5.5,5.0,0.169,0.265,0.320,6.1,5.8,6.0
3,02/04/23 05:15:00,-0.5326,0.345,6.6,0.417,6.5,6.2,0.224,6.0,0.365,6.1,5.5,6.0,0.175,0.082,6.0,6.5,6.5,6.3,7.0,0.334,6.8,0.051,5.5,0.362,5.6,0.144,5.8,4.7,6.5,5.6,0.151,0.242,5.3,5.2,4.7,4.8,4.0,0.146,3.5,0.050,5.3,0.221,0.082,4.2,3.6,5.8,6.5,0.379,5.5,5.0,0.169,0.265,0.318,6.2,5.8,6.0
4,02/04/23 05:20:00,-0.5287,0.345,6.6,0.417,6.5,6.2,0.224,6.0,0.364,6.1,5.3,6.0,0.175,0.082,6.0,6.5,6.5,6.3,7.0,0.334,6.8,0.051,5.5,0.362,5.6,0.144,5.8,4.6,6.3,5.6,0.151,0.242,5.3,5.2,4.7,4.8,4.0,0.146,3.5,0.050,5.3,0.221,0.082,4.1,3.6,5.8,6.5,0.379,5.5,4.8,0.169,0.265,0.317,6.2,5.8,6.1
5,02/04/23 05:25:00,-0.5326,0.345,6.6,0.417,6.5,6.1,0.224,6.0,0.364,6.1,5.3,6.0,0.175,0.082,6.0,6.5,6.5,6.5,7.0,0.334,6.8,0.051,5.0,0.362,5.6,0.144,5.8,4.5,6.5,5.6,0.151,0.242,5.3,5.2,4.6,4.8,4.0,0.146,3.5,0.050,5.3,0.221,0.082,4.1,3.7,6.0,6.3,0.379,5.5,4.7,0.169,0.265,0.318,6.2,5.8,6.1
6,02/04/23 05:30:00,-0.5346,0.345,6.6,0.417,6.5,6.2,0.224,6.1,0.364,6.1,5.3,6.0,0.175,0.082,6.0,6.5,6.5,6.3,7.0,0.334,6.8,0.051,5.0,0.364,5.6,0.144,5.8,4.5,6.5,5.6,0.151,0.242,5.3,5.2,4.7,4.8,4.0,0.146,3.5,0.049,5.3,0.222,0.082,4.0,3.6,5.8,6.3,0.379,5.5,4.7,0.169,0.265,0.320,6.2,5.8,6.1
7,02/04/23 05:35:00,-0.5326,0.345,6.6,0.417,6.5,6.1,0.224,6.0,0.365,6.1,5.2,6.0,0.175,0.082,6.0,6.5,6.5,6.3,7.0,0.334,6.8,0.051,5.0,0.364,5.6,0.144,5.8,4.3,6.3,5.5,0.151,0.242,5.3,5.1,4.6,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,4.0,3.6,6.0,6.3,0.379,5.5,4.7,0.169,0.265,0.318,6.2,5.8,6.1
8,02/04/23 05:40:00,-0.5326,0.345,6.6,0.417,6.5,6.1,0.224,6.0,0.365,6.1,5.2,6.0,0.175,0.082,6.0,6.5,6.5,6.5,7.0,0.334,6.8,0.051,5.0,0.364,5.6,0.144,5.8,4.3,6.5,5.6,0.151,0.242,5.3,5.1,4.5,4.8,4.0,0.146,3.5,0.049,5.3,0.221,0.082,4.0,3.6,6.0,6.2,0.379,5.5,4.6,0.169,0.265,0.317,6.2,5.8,6.1
9,02/04/23 05:45:00,-0.5247,0.345,6.6,0.417,6.5,6.1,0.224,6.1,0.364,6.1,5.1,6.0,0.175,0.082,6.0,6.5,6.5,6.3,7.0,0.334,6.8,0.051,5.0,0.364,5.6,0.144,5.8,4.3,6.5,5.6,0.151,0.242,5.3,5.2,4.5,4.8,4.0,0.146,3.6,0.049,5.5,0.222,0.082,3.8,3.6,6.0,6.2,0.379,5.5,4.5,0.169,0.265,0.317,6.1,5.8,6.0
10,02/04/23 05:50:00,-0.5326,0.345,6.6,0.417,6.5,6.0,0.224,6.0,0.364,6.1,5.1,6.0,0.175,0.082,6.0,6.5,6.5,6.3,7.0,0.334,6.8,0.051,5.0,0.364,5.6,0.144,5.8,4.2,6.5,5.5,0.151,0.242,5.3,5.2,4.5,4.8,4.0,0.146,3.6,0.049,5.3,0.222,0.082,3.8,3.7,6.0,6.2,0.379,5.5,4.5,0.169,0.265,0.317,6.1,5.8,6.0
