Line#,Date,"Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap","Temperature (RXW-GP4 21474793:21124502-6), *C, Soap","Temperature (RXW-GP4 21474793:21124502-10), *C, Soap","Temperature (RXW-GP4 21474793:21124502-9), *C, Soap","Water Content (RXW-GP4 21474793:21124502-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-7), *C, Soap","Water Content (RXW-GP4 21474793:21124502-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-11), *C, Soap","Water Content (RXW-GP4 21474793:21124502-4), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124502-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-5), *C, Soap","Temperature (RXW-GP4 21474793:21124502-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-6), *C, Soap","Water Content (RXW-GP4 21474793:21124506-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-9), *C, Soap","Temperature (RXW-GP4 21474793:21124506-5), *C, Soap","Water Content (RXW-GP4 21474793:21124506-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-7), *C, Soap","Temperature (RXW-GP4 21474793:21124506-10), *C, Soap","Temperature (RXW-GP4 21474793:21124506-11), *C, Soap"
1,01/09/24 15:50:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.279,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.7,3.1,0.000,0.0,1.8,0.401,0.595,0.000,4.5,0.0,0.0
2,01/09/24 15:55:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.0,0.334,6.3,0.279,6.8,1.3,7.6,2.7,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.7,3.1,0.639,6.3,1.8,0.401,0.595,0.637,4.5,7.0,7.8
3,01/09/24 16:00:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.7,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.7,3.1,0.000,0.0,1.8,0.401,0.594,0.000,4.6,0.0,0.0
4,01/09/24 16:05:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.7,3.1,0.639,6.3,1.8,0.401,0.594,0.637,4.5,7.0,7.8
5,01/09/24 16:10:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.6,3.1,0.639,6.3,1.8,0.401,0.594,0.637,4.5,7.0,7.6
6,01/09/24 16:15:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.6,3.1,0.639,6.3,1.8,0.401,0.594,0.637,4.5,7.0,7.8
7,01/09/24 16:20:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.3,7.6,2.7,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.7,3.1,0.639,6.3,1.8,0.401,0.594,0.637,4.5,7.0,7.8
8,01/09/24 16:25:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.3,7.6,2.7,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.3,5.6,3.1,0.000,0.0,1.8,0.401,0.594,0.000,4.5,0.0,0.0
9,01/09/24 16:30:00,0.413,7.5,0.474,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.1,0.334,6.3,0.278,6.8,1.5,7.6,2.8,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.7,3.1,0.000,0.0,1.8,0.401,0.594,0.000,4.3,0.0,0.0
10,01/09/24 16:35:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.7,3.1,0.639,6.3,1.8,0.401,0.594,0.637,4.5,7.0,7.6
11,01/09/24 16:40:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.2,1.8,6.0,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.2,2.0,6.5,5.3,0.278,3.0,0.161,7.0,0.340,0.216,1.5,4.2,5.7,3.1,0.639,6.3,1.8,0.400,0.594,0.637,4.5,7.0,7.6
12,01/09/24 16:45:00,0.413,7.5,0.472,7.0,2.7,0.338,5.3,0.392,4.1,1.8,6.1,0.334,6.3,0.278,6.8,1.3,7.6,2.8,0.278,0.322,4.2,5.1,2.0,6.5,5.3,0.278,3.0,0.161,7.1,0.340,0.216,1.5,4.2,5.6,3.1,0.639,6.3,1.8,0.401,0.594,0.637,4.5,7.1,7.6
