Line#,Date,"Water Content (RXW-GP4A 21474793:22221785-3), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-4), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-9), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-10), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-5), *C, Soap","Water Content (RXW-GP4A 21474793:22221785-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-8), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-6), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-3), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-10), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-9), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-5), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-8), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-6), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-9), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-8), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-5), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-10), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22094718-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-2), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-6), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-7), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap"
1,01/28/25 04:20:00,0.146,0.113,5.1,6.4,0.4,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.6,6.3,4.6,0.070,5.1,4.9,8.4,7.1,6.1,0.069,5.9,8.9,0.214,0.049,0.100,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.6,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.5,6.6,3.6,0.270,0.372,4.3,5.0
2,01/28/25 04:25:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.155,0.038,6.8,6.3,4.5,0.070,5.1,4.9,8.4,7.1,6.1,0.069,5.9,8.9,0.215,0.049,0.099,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.6,0.321,5.5,0.382,4.5,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
3,01/28/25 04:30:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.155,0.038,6.8,6.3,4.5,0.070,5.1,4.9,8.3,7.1,6.1,0.068,5.8,8.9,0.214,0.049,0.100,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.384,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.3,5.0
4,01/28/25 04:35:00,0.145,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.5,2.4,0.155,0.038,6.6,6.1,4.5,0.070,5.1,4.9,8.4,7.1,6.1,0.069,5.8,8.9,0.214,0.049,0.099,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.6,0.270,0.372,4.3,5.0
5,01/28/25 04:40:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.8,6.3,4.5,0.070,5.3,4.9,8.4,7.1,6.1,0.069,5.6,8.9,0.214,0.049,0.100,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.3,0.384,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.3,5.0
6,01/28/25 04:45:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.6,6.3,4.4,0.070,5.1,4.9,8.4,7.1,6.1,0.069,5.6,8.9,0.214,0.049,0.099,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.5,6.6,3.6,0.270,0.372,4.5,5.0
7,01/28/25 04:50:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.155,0.038,6.8,6.1,4.4,0.070,5.3,4.9,8.4,7.1,6.1,0.069,5.6,8.9,0.214,0.049,0.100,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.382,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
8,01/28/25 04:55:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.6,6.3,4.3,0.070,5.3,4.9,8.4,7.1,6.1,0.068,5.6,8.9,0.214,0.049,0.100,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.384,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
9,01/28/25 05:00:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.5,1.4,2.4,0.155,0.038,6.6,6.1,4.4,0.070,5.1,4.9,8.4,7.1,6.1,0.068,5.6,8.9,0.214,0.049,0.100,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.385,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.5,6.6,3.7,0.270,0.372,4.3,5.0
10,01/28/25 05:05:00,0.146,0.113,5.1,6.4,0.3,0.000,0.000,3.6,1.4,2.4,0.155,0.038,6.8,6.3,4.3,0.070,5.1,4.9,8.4,7.1,6.1,0.069,5.5,8.9,0.214,0.049,0.099,6.1,5.0,0.095,0.374,7.0,0.439,6.5,3.7,0.321,5.5,0.384,4.6,3.6,6.0,0.452,5.8,0.288,6.0,3.3,6.6,3.7,0.270,0.372,4.5,5.0
