Line#,Date,"Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21483427-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21483427-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-8), *C, Soap","Temperature (RXW-GP4 21474793:21483427-10), *C, Soap","Temperature (RXW-GP4 21474793:21483427-6), *C, Soap","Temperature (RXW-GP4 21474793:21483427-9), *C, Soap","Temperature (RXW-GP4 21474793:21483427-7), *C, Soap","Water Content (RXW-GP4 21474793:21483427-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-11), *C, Soap","Water Content (RXW-GP4 21474793:21483427-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-5), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap","Temperature (RXW-GP4 21474793:21124502-6), *C, Soap","Temperature (RXW-GP4 21474793:21124502-10), *C, Soap","Temperature (RXW-GP4 21474793:21124502-9), *C, Soap","Water Content (RXW-GP4 21474793:21124502-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-7), *C, Soap","Water Content (RXW-GP4 21474793:21124502-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-11), *C, Soap","Water Content (RXW-GP4 21474793:21124502-4), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124502-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-5), *C, Soap","Temperature (RXW-GP4 21474793:21124502-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-6), *C, Soap","Water Content (RXW-GP4 21474793:21124506-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-9), *C, Soap","Temperature (RXW-GP4 21474793:21124506-5), *C, Soap","Water Content (RXW-GP4 21474793:21124506-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-7), *C, Soap","Temperature (RXW-GP4 21474793:21124506-10), *C, Soap","Temperature (RXW-GP4 21474793:21124506-11), *C, Soap"
1,02/08/23 04:00:00,0.356,6.8,0.425,6.6,6.6,0.237,6.0,0.375,6.1,6.7,6.1,0.233,0.118,6.0,6.6,7.5,6.5,7.5,0.342,7.0,0.089,7.5,0.402,5.8,0.200,6.0,5.5,6.5,5.5,0.190,0.350,5.1,5.2,4.7,5.3,4.5,0.161,3.7,0.064,5.6,0.237,0.095,5.1,4.2,6.0,7.3,0.390,5.6,7.1,0.291,0.371,0.394,6.3,6.0,6.3
2,02/08/23 04:05:00,0.356,6.8,0.425,6.5,6.5,0.237,6.0,0.375,6.1,6.7,6.1,0.233,0.118,6.0,6.6,7.5,6.5,7.5,0.342,7.0,0.089,8.0,0.402,5.8,0.200,6.0,5.5,6.5,5.5,0.190,0.350,5.1,5.2,4.7,5.3,4.5,0.161,3.7,0.064,5.6,0.237,0.095,5.0,4.2,6.0,7.3,0.390,5.6,7.0,0.291,0.371,0.392,6.3,6.0,6.3
3,02/08/23 04:10:00,0.356,6.8,0.425,6.5,6.5,0.237,6.1,0.375,6.1,6.6,6.1,0.233,0.118,6.0,6.5,7.5,6.5,7.5,0.342,7.0,0.089,7.5,0.402,5.8,0.200,6.0,5.3,6.5,5.5,0.190,0.350,5.1,5.2,4.8,5.3,4.5,0.161,3.7,0.064,5.6,0.237,0.095,5.0,4.2,6.0,7.3,0.390,5.6,7.0,0.291,0.371,0.392,6.3,6.0,6.1
4,02/08/23 04:15:00,0.356,7.0,0.425,6.6,6.5,0.237,6.1,0.375,6.1,6.6,6.0,0.233,0.118,6.0,6.6,7.5,6.5,7.0,0.342,7.0,0.089,7.5,0.402,5.8,0.200,6.0,5.3,6.5,5.5,0.190,0.349,5.1,5.1,4.7,5.3,4.5,0.161,3.7,0.064,5.6,0.237,0.095,4.8,4.1,6.0,7.2,0.390,5.6,6.8,0.291,0.371,0.394,6.3,6.0,6.3
5,02/08/23 04:20:00,0.356,6.8,0.425,6.6,6.5,0.237,6.1,0.375,6.1,6.5,6.0,0.233,0.118,6.0,6.6,7.5,6.5,7.5,0.342,7.0,0.089,7.0,0.402,5.8,0.200,6.0,5.3,6.5,5.5,0.190,0.350,5.1,5.2,4.7,5.3,4.5,0.161,3.7,0.064,5.5,0.237,0.095,4.8,4.2,6.0,7.2,0.390,5.6,6.8,0.291,0.371,0.392,6.3,6.0,6.3
6,02/08/23 04:25:00,0.356,6.8,0.425,6.6,6.5,0.237,6.1,0.375,6.1,6.5,6.0,0.233,0.118,6.0,6.5,7.5,6.5,7.5,0.342,7.0,0.089,7.0,0.402,5.8,0.200,6.0,5.2,6.5,5.3,0.190,0.350,5.1,5.2,4.7,5.3,4.5,0.161,3.8,0.064,5.6,0.237,0.095,4.8,4.1,6.0,7.2,0.390,5.6,6.7,0.290,0.371,0.394,6.3,6.0,6.3
7,02/08/23 04:30:00,0.356,6.8,0.425,6.5,6.5,0.237,6.1,0.375,6.1,6.5,6.0,0.233,0.118,6.0,6.5,7.5,6.5,7.5,0.342,7.0,0.089,7.0,0.402,5.8,0.200,6.0,5.2,6.5,5.5,0.190,0.349,5.1,5.2,4.8,5.3,4.5,0.161,3.8,0.064,5.6,0.237,0.095,4.8,4.2,6.0,7.2,0.390,5.6,6.6,0.290,0.371,0.392,6.3,6.0,6.3
8,02/08/23 04:35:00,0.356,6.8,0.425,6.6,6.5,0.237,6.1,0.375,6.1,6.3,6.1,0.233,0.118,6.0,6.5,7.5,6.5,7.5,0.342,7.0,0.089,7.0,0.402,5.8,0.200,6.0,5.1,6.5,5.5,0.190,0.350,5.1,5.2,4.7,5.3,4.5,0.162,3.8,0.064,5.5,0.237,0.095,4.7,4.2,6.1,7.1,0.390,5.6,6.6,0.290,0.371,0.392,6.3,6.0,6.3
9,02/08/23 04:40:00,0.356,6.8,0.425,6.5,6.5,0.237,6.1,0.375,6.2,6.3,6.1,0.233,0.118,6.0,6.5,7.5,6.5,7.5,0.342,7.0,0.089,7.0,0.402,5.8,0.200,6.0,5.1,6.5,5.3,0.190,0.349,5.1,5.2,4.7,5.3,4.5,0.161,3.8,0.064,5.6,0.237,0.095,4.7,4.2,6.0,7.1,0.390,5.6,6.5,0.290,0.371,0.392,6.5,6.0,6.3
10,02/08/23 04:45:00,0.356,6.8,0.425,6.6,6.5,0.237,6.1,0.375,6.2,6.3,6.0,0.233,0.118,6.0,6.5,7.5,6.5,7.5,0.342,7.0,0.089,7.0,0.402,5.8,0.200,6.0,5.1,6.5,5.3,0.190,0.349,5.1,5.2,4.7,5.3,4.5,0.161,3.7,0.064,5.6,0.237,0.095,4.6,4.2,6.0,7.1,0.390,5.6,6.5,0.290,0.371,0.392,6.3,6.0,6.3
