Line#,Date,"Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21483427-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21483427-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-8), *C, Soap","Temperature (RXW-GP4 21474793:21483427-10), *C, Soap","Temperature (RXW-GP4 21474793:21483427-6), *C, Soap","Temperature (RXW-GP4 21474793:21483427-9), *C, Soap","Temperature (RXW-GP4 21474793:21483427-7), *C, Soap","Water Content (RXW-GP4 21474793:21483427-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-11), *C, Soap","Water Content (RXW-GP4 21474793:21483427-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21483427-5), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap","Temperature (RXW-GP4 21474793:21124502-6), *C, Soap","Temperature (RXW-GP4 21474793:21124502-10), *C, Soap","Temperature (RXW-GP4 21474793:21124502-9), *C, Soap","Water Content (RXW-GP4 21474793:21124502-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-7), *C, Soap","Water Content (RXW-GP4 21474793:21124502-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-11), *C, Soap","Water Content (RXW-GP4 21474793:21124502-4), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124502-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-5), *C, Soap","Temperature (RXW-GP4 21474793:21124502-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-6), *C, Soap","Water Content (RXW-GP4 21474793:21124506-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-9), *C, Soap","Temperature (RXW-GP4 21474793:21124506-5), *C, Soap","Water Content (RXW-GP4 21474793:21124506-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-7), *C, Soap","Temperature (RXW-GP4 21474793:21124506-10), *C, Soap","Temperature (RXW-GP4 21474793:21124506-11), *C, Soap"
1,02/14/24 15:30:00,0.506,6.6,0.587,6.3,4.2,0.416,5.7,0.510,5.2,3.1,5.8,0.644,0.636,7.0,7.1,4.5,7.0,6.5,0.644,7.5,0.535,4.0,0.650,6.1,0.402,6.1,2.7,7.0,4.1,0.536,0.648,5.1,5.6,2.0,5.8,4.8,0.340,2.8,0.201,6.5,0.394,0.278,1.5,4.0,6.2,4.6,0.639,6.1,3.3,0.565,0.648,0.637,5.7,6.5,6.8
2,02/14/24 15:35:00,0.506,6.5,0.587,6.3,4.1,0.417,5.7,0.510,5.2,3.1,5.8,0.643,0.633,7.0,7.1,4.5,7.0,6.5,0.644,7.5,0.531,4.0,0.650,6.0,0.402,6.1,2.8,6.8,4.1,0.536,0.648,5.1,5.5,2.0,5.8,4.8,0.340,2.8,0.201,6.5,0.394,0.277,1.5,4.0,6.2,4.6,0.000,0.0,3.2,0.565,0.648,0.000,5.7,0.0,0.0
3,02/14/24 15:40:00,0.506,6.5,0.587,6.3,4.1,0.417,5.7,0.510,5.2,3.1,5.8,0.643,0.633,7.0,7.1,4.5,7.0,6.5,0.644,7.5,0.531,4.0,0.650,6.1,0.402,6.3,2.8,7.0,4.1,0.536,0.648,5.1,5.5,2.0,5.8,4.8,0.340,2.8,0.201,6.3,0.394,0.278,1.5,4.0,6.2,4.6,0.639,6.1,3.2,0.565,0.648,0.637,5.7,6.5,6.8
4,02/14/24 15:45:00,0.506,6.5,0.587,6.3,4.1,0.417,5.7,0.510,5.2,3.1,5.8,0.643,0.636,7.0,7.1,4.5,7.1,6.5,0.644,7.5,0.535,3.5,0.650,6.0,0.402,6.3,2.7,6.8,4.1,0.536,0.648,5.2,5.5,2.0,5.8,4.6,0.340,2.8,0.201,6.3,0.394,0.278,1.5,4.0,6.2,4.6,0.639,6.1,3.2,0.565,0.648,0.637,5.7,6.5,6.8
5,02/14/24 15:50:00,0.506,6.5,0.587,6.3,4.1,0.417,5.7,0.510,5.2,3.1,6.0,0.643,0.633,7.0,7.1,4.5,7.1,6.5,0.644,7.5,0.531,3.5,0.650,6.1,0.402,6.1,2.8,7.0,4.1,0.536,0.648,5.1,5.6,2.0,5.8,4.8,0.340,2.8,0.201,6.3,0.394,0.277,1.5,4.0,6.2,4.6,0.639,6.1,3.2,0.565,0.648,0.637,5.7,6.5,6.8
6,02/14/24 15:55:00,0.506,6.5,0.587,6.3,4.1,0.416,5.7,0.510,5.2,3.1,5.8,0.643,0.636,7.0,7.1,4.5,7.0,6.5,0.644,7.5,0.535,3.5,0.650,6.1,0.402,6.1,2.7,6.8,4.1,0.536,0.648,5.1,5.6,2.0,5.8,4.8,0.340,2.8,0.201,6.3,0.394,0.277,1.5,4.0,6.2,4.6,0.639,6.1,3.2,0.565,0.648,0.637,5.7,6.5,6.8
7,02/14/24 16:00:00,0.506,6.5,0.587,6.3,4.1,0.416,5.7,0.510,5.2,3.1,5.8,0.643,0.636,7.0,7.1,4.5,7.0,6.5,0.644,7.5,0.535,3.5,0.650,6.1,0.402,6.3,2.7,7.0,4.1,0.536,0.648,5.1,5.5,2.0,5.8,4.8,0.340,2.8,0.201,6.3,0.394,0.277,1.5,4.0,6.2,4.6,0.639,6.1,3.2,0.565,0.648,0.637,5.6,6.5,6.8
8,02/14/24 16:05:00,0.506,6.5,0.587,6.3,4.1,0.417,5.7,0.510,5.2,3.1,6.0,0.643,0.636,7.0,7.1,4.5,7.0,6.5,0.644,7.5,0.535,4.0,0.650,6.0,0.402,6.3,2.8,6.8,4.1,0.535,0.648,5.1,5.6,2.0,5.8,4.6,0.340,2.8,0.201,6.5,0.394,0.278,1.5,4.0,6.2,4.6,0.639,6.1,3.2,0.565,0.648,0.637,5.6,6.5,6.8
9,02/14/24 16:10:00,0.506,6.6,0.587,6.3,4.1,0.416,5.7,0.510,5.2,3.1,5.8,0.643,0.636,7.0,7.1,4.5,7.0,6.5,0.644,7.5,0.535,4.0,0.650,6.1,0.402,6.1,2.7,6.8,4.1,0.535,0.648,5.2,5.6,2.0,5.6,4.8,0.340,2.8,0.201,6.5,0.394,0.278,1.5,4.0,6.2,4.6,0.639,6.1,3.2,0.564,0.648,0.637,5.6,6.5,6.8
10,02/14/24 16:15:00,0.506,6.5,0.587,6.3,4.1,0.416,5.7,0.510,5.2,3.1,5.8,0.643,0.633,7.0,7.1,4.5,7.1,6.5,0.644,7.5,0.531,4.0,0.650,6.0,0.402,6.1,2.8,6.8,4.1,0.535,0.648,5.1,5.6,2.0,5.6,4.8,0.340,2.8,0.201,6.5,0.394,0.278,1.5,4.0,6.2,4.5,0.639,6.1,3.2,0.564,0.648,0.637,5.7,6.5,7.0
