timestamp_local,RanchoVenadaWs_sapflow1_deltatemp_c_mid,RanchoVenadaWs_sapflow2_deltatemp_c_mid,RanchoVenadaWs_sapflow3_deltatemp_c_mid,RanchoVenadaWs_sapflow4_deltatemp_c_mid
2019-04-29 07:30:00,1.04647,0.4593377,0.7609385999999999,0.9153818000000001
2019-04-29 07:45:00,1.584482,0.5053713,0.8774495999999999,1.0210110000000001
2019-04-29 08:00:00,4.9705330000000005,0.5074793,0.8609210999999999,1.029148
2019-04-29 08:15:00,2.971002,0.4788479999999999,0.740202,0.9728535
2019-04-29 08:30:00,2.48143,0.4900137,0.6738515,0.9584872
2019-04-29 08:45:00,1.558937,0.47667380000000004,0.6237621,0.8910136999999999
2019-04-29 09:00:00,1.140423,0.5090159000000001,0.667239,0.9904359
2019-04-29 09:15:00,2.2807939999999998,0.5112131,0.6374633000000001,0.964542
2019-04-29 09:30:00,,,,
2019-04-29 09:45:00,,,,
2019-04-29 10:00:00,2.3227130000000002,0.6028146,0.831041,1.019776
2019-04-29 10:15:00,2.930717,0.6193944,0.9390761000000001,0.9901123
2019-04-29 10:30:00,1.937858,0.6371595999999999,0.9315505,0.9852790000000001
2019-04-29 10:45:00,1.189534,0.6599335,0.9871110000000001,1.0880239999999999
2019-04-29 11:00:00,2.123929,0.6744111999999999,1.006106,1.191423
2019-04-29 11:15:00,,,,
2019-04-29 11:30:00,,,,
2019-04-29 11:45:00,,,,
2019-04-29 12:00:00,,,,
2019-04-29 12:15:00,2.651626,0.7327169,1.039083,1.224215
2019-04-29 12:30:00,2.141828,0.7230034000000001,1.117472,1.041269
2019-04-29 12:45:00,3.282801,0.7398068,1.075235,1.3075139999999998
2019-04-29 13:00:00,2.327054,0.7390609,1.074457,1.390724
2019-04-29 13:15:00,2.631428,0.7361101,1.110543,1.413193
2019-04-29 13:30:00,2.036705,0.7402532,1.067396,1.204386
2019-04-29 13:45:00,1.994491,0.7177089,1.010043,1.104614
2019-04-29 14:00:00,2.2902,0.7083077,0.9908333,0.9685222
2019-04-29 14:15:00,2.403122,0.7003273,0.9511951999999999,1.107608
